HouseID,Street,City,State,Zip,Lat,Lon,TotalPrice
269,7006 Memphis Ave,Lubbock,Texas,79413,33.530457,-101.8970032,163739
270,3416 94th St,Lubbock,Texas,79423,33.509653,-101.8899994,178485
271,5109 73rd St,Lubbock,Texas,79424,33.527279,-101.9209976,101835
272,5012 70th St,Lubbock,Texas,79424,33.530526,-101.9189987,182500
273,5109 73rd St,Lubbock,Texas,79424,33.527279,-101.9209976,101835
274,2511 Loyola St,Lubbock,Texas,79415,33.564521,-101.8479996,199726
275,5017 Itasca St,Lubbock,Texas,79416,33.609718,-101.9179993,189810
276,2610 27th St,Lubbock,Texas,79410,33.569709,-101.8730011,125504
277,2718 86th St,Lubbock,Texas,79423,33.516552,-101.875,142598
278,5003 60th St,Lubbock,Texas,79414,33.539505,-101.9179993,92944
279,4712 81st St,Lubbock,Texas,79424,33.521846,-101.913002,170570
280,5411 92nd St,Lubbock,Texas,79424,33.510057,-101.9290009,119880
281,2720 58th St,Lubbock,Texas,79413,33.541217,-101.8740005,180000
282,2802 74th Place,Lubbock,Texas,79423,33.526898,-101.8759995,126375
283,5542 1st Place,Lubbock,Texas,79416,33.597342,-101.9349976,108750
284,6116 10th St,Lubbock,Texas,79416,33.586782,-101.9489975,122400
285,2315 Ithaca Ave,Lubbock,Texas,79410,33.572886,-101.8889999,90000
286,3304 76th St,Lubbock,Texas,79423,33.525276,-101.8860016,218925
287,2411 93rd St,Lubbock,Texas,79423,33.510227,-101.8700027,129300
288,2302 Slide Rd,Lubbock,Texas,79407,33.563139,-101.947998,114825
289,4818 46th St,Lubbock,Texas,79414,33.552719,-101.9160004,107775
290,4513 52nd St,Lubbock,Texas,79414,33.546749,-101.9089966,111975
291,3304 76th St,Lubbock,Texas,79423,33.525276,-101.8860016,218925
292,5235 84th St,Lubbock,Texas,79424,33.51679,-101.9250031,124725
293,1613 76th St,Lubbock,Texas,79423,33.525295,-101.8539963,123272
294,2326 91st St,Lubbock,Texas,79423,33.512344,-101.8679962,87552
295,3707 45th St,Lubbock,Texas,79413,33.553036,-101.8949966,102144
296,7901 Wayne Ave,Lubbock,Texas,79424,33.522696,-101.9169998,229748
297,9706 Blandon Ave,Lubbock,Texas,79423,33.506562,-101.8740005,95456
298,5203 8th St,Lubbock,Texas,79416,33.588289,-101.9229965,152000
299,5713 63rd St,Lubbock,Texas,79424,33.536276,-101.935997,154888
300,5401 79th St,Lubbock,Texas,79424,33.522204,-101.9280014,191140
301,1915 100th St,Lubbock,Texas,79423,33.502742,-101.8590012,100639
302,5029 Hanover St,Lubbock,Texas,79416,33.60896,-101.9199982,164241
303,1203 Grover Ave,Lubbock,Texas,79416,33.584869,-101.9440002,105567
304,1012 Kewanee Ave,Lubbock,Texas,79416,33.585429,-101.9530029,148379
305,3414 25th St,Lubbock,Texas,79410,33.571596,-101.8889999,83160
306,3202 47th St,Lubbock,Texas,79413,33.551813,-101.8840027,149842
307,8209 Joliet Ave,Lubbock,Texas,79423,33.519321,-101.8899994,115192
308,3804 69th St,Lubbock,Texas,79413,33.532065,-101.8970032,301763
309,4915 58th St,Lubbock,Texas,79414,33.541307,-101.9169998,127820
310,4410 55th St,Lubbock,Texas,79414,33.544555,-101.9059982,132517
311,4807 59th St,Lubbock,Texas,79414,33.540409,-101.9140015,139524
312,2815 N Meadow Dr,Lubbock,Texas,79403,33.618892,-101.8219986,179400
313,3215 Emory S,Lubbock,Texas,79415,33.605709,-101.8850021,109356
314,1940 77th St,Lubbock,Texas,79423,33.525303,-101.8619995,130650
315,5206 Jarvis St,Lubbock,Texas,79416,33.611344,-101.9229965,199446
316,6107 5th St,Lubbock,Texas,79416,33.590686,-101.9509964,124254
317,6219 18th St,Lubbock,Texas,79416,33.57972,-101.9520035,139776
318,6524 9th St,Lubbock,Texas,79416,33.587765,-101.9599991,146484
319,4001 87th St,Lubbock,Texas,79423,33.5194,-101.8659973,229866
320,8405 Gary Ave,Lubbock,Texas,79423,33.516661,-101.8820038,125658
321,2624 78th St,Lubbock,Texas,79423,33.523674,-101.875,122924
